id	184A1	184B5	21MT1	21NT	21PT	600MPE	AU565	BT474	BT483	BT549	CAMA1	EFM192A	EFM192B	EFM192C	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF10A	MCF10F	MCF12A	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	T47D_Kbluc	UACC812	UACC893	ZR751	ZR7530	ZR75B
Group	Normal-like	Normal-like	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Luminal	Luminal	Basal	Claudin-low	Luminal	Luminal	Basal	Basal	Basal	Basal	Luminal	Basal	Claudin-low	Basal	Claudin-low	Basal	Luminal	Normal-like	Normal-like	Normal-like	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Basal	Luminal	Claudin-low	Basal	Luminal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
ENSG00000228253	12.24	12.55	0	0	0	12.64	0	13.33	12.67	11.66	13	10.93	11.27	0	12.26	12.65	12.55	12.6	10.73	11.44	11.51	12.5	11.6	12.09	12.66	12.71	12	12.76	0	12.74	12.46	0	12.15	12.31	13.06	13.09	12.31	12.68	13.26	13.69	0	12.13	0	0	11.85	12.02	11.91	0	0	11.47	13.08	11.87
ENSG00000251705	0	0	0	0	0	10.49	0	10.56	10.27	0	11.07	0	0	0	10.13	9.76	10.97	11.04	0	10.83	11.37	0	10.77	0	11.87	0	11.19	4.32	0	0	0	0	11.06	11.26	4.68	0	3.89	0	0	0	0	10.46	0	0	0	0	0	0	0	0	11.03	11.25
ENSG00000229119	10.09	10.48	9.75	10.25	10.15	0	9.5	0	7.72	5.35	0	9.92	10.1	10.48	0	0	1.54	0	5.79	0	0	10.37	5.37	10.32	0	9.08	6.35	0	10.07	11.1	11.33	10.81	0	2.77	0	10.68	0	7.14	11.14	8.95	0	0	10.33	0	11.19	10.74	8.3	10.84	10	10.92	0.33	0
ENSG00000084207	11.31	11.63	0	0.29	0.14	7.82	0.5	0.31	0	9.24	0.27	0.78	0.32	0.18	10.28	9.93	0.3	0.34	9.26	10.49	1.37	0.8	3.72	9.45	9.03	7	8.33	8.22	2.54	11.66	10.34	11.33	0.26	1.75	0.1	7.46	0	1.59	9.93	0.74	9.27	10.64	1.77	10.12	0	1.25	1.36	1.12	0	2.63	4.91	3.99
ENSG00000205420	11.08	12.04	9.92	10.14	9.96	0.92	0.88	1.16	0.14	0.69	0.15	0.4	0.24	0.53	8.15	3.94	0.25	0.1	1.54	10.54	7.79	2.54	7.1	2.85	0.14	2.6	0.25	0.37	1.28	10.32	11.73	12.62	1.04	0	0.03	0.2	2.6	1.35	4.76	0.27	0.41	10.15	7.01	11.26	10.92	0.46	0.78	0.12	0.99	0.4	0.04	0.23
ENSG00000186081	11.62	12.89	5.44	5.64	6.82	0	0.93	1.21	0.46	0.73	0.66	2.37	0.85	0.72	10.79	6.91	0.65	0.61	2.35	11.74	10.99	5.27	5.62	7.18	1.69	9.62	0.54	8.76	2.21	11.66	10.47	12.91	0.5	0.33	0.15	0.5	0.96	2	3.47	1.66	1.71	10.92	7.98	10.82	6.08	0.42	1.35	1.49	1.98	0	0.46	1.1
ENSG00000160182	0	0.27	1.61	2.23	1.18	6.67	4.5	9.3	12.06	0	5.46	6.36	6.89	9.93	0.29	0	9.98	11.72	0.4	0.29	1.74	1.8	4.76	0	0	0	1.3	0.72	11.47	0	1.68	0	11.27	5.77	9.21	2.31	8.58	3.76	0	1.24	0.67	0.83	1.26	0.62	0.49	1.94	6.83	12.94	8.2	9.16	0.93	11.03
ENSG00000128422	10.96	12.56	5.34	3.56	2.51	1.95	0.7	0	2.57	1.15	0.61	3.39	4.95	0.82	10.36	0.53	0.16	0.12	2.22	8.3	10.24	6.42	5.36	10.95	0	6.4	1.91	0	4.82	11.67	10.78	12.76	0.44	0	1.86	0.55	1.65	1.82	8.77	0.56	1.45	10.39	6.67	10.1	0.19	1.33	2.04	1.1	3.79	1.07	0.77	0.34
ENSG00000110484	0	0	0.85	0.67	0.45	12.07	5.06	6.04	1.37	0	2.96	7.91	2.94	9.2	0.58	2.64	4.72	5.34	0	0	0	0	2.75	0	0	0.24	0.07	0.45	0.95	0	0	3.53	1.11	0.25	5.97	0	10.92	0.66	0.36	7.23	0	0	13.81	0	8.7	0	0.69	8.21	4.13	11.93	13.96	3.14
ENSG00000026025	3.42	1.75	8.61	7.93	8.16	1.09	0.9	2.65	2.25	10.56	1.38	0.24	1.56	0.16	10.62	10.64	1.55	0	7.31	3.52	5.58	7.51	3.93	8.65	10.54	7.11	12.21	3.63	4.72	9.17	10.76	10.15	1.14	6.61	0.71	10.5	0.43	1.44	10.42	0.88	13.42	7.5	1.77	8.72	1.35	2.95	1.22	5.09	0.89	1.34	0.16	0.11
ENSG00000171345	1.18	1.54	9.93	10.07	9.88	10.65	11.71	10.21	12.48	0.7	10.36	11.8	11.28	12.07	9.67	0.67	11.44	12.19	1.77	10.07	3.08	3.89	9.67	9.57	2.5	10.06	2.31	9.13	11.59	0.75	2.58	1.86	11.4	11.16	10.61	5.92	9.33	9.96	8.92	11.2	2.1	11.33	11.24	11.97	11.07	12.27	11.55	12.29	12.25	11.26	9.94	11.67
ENSG00000205426	2.05	10.2	10.22	9.7	9.98	9.46	10.47	0.06	4.19	1.86	1.09	10.33	7.05	5.56	4.58	7.46	2.74	0.82	10.35	0.55	7.41	8.38	4.4	10.14	1.69	0.65	1.36	0.79	7.74	10.51	10.55	7.03	4.74	0.46	10.18	3.76	6.37	0.86	6.96	9.89	0.94	13	11.77	4.01	11.28	0.21	1.38	7.95	9.67	1.55	1.85	2.19
